study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.rt,study_resp.started,study_resp.stopped,text_4.started,text_4.stopped,end_resp.keys,end_resp.started,end_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
58,0,58,0,247.80383961999905,None,,,,,,,59,all_images/3_094a.jpg,LSim,244.7931754510064,None,244.7931754510064,None,244.7931754510064,None,244.7931754510064,None,244.7931754510064,None,None,,244.7931754510064,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
59,0,59,0,251.82869611600472,None,,,,,,,60,all_images/F_190a.jpg,LSim,248.81708690000232,None,248.81708690000232,None,248.81708690000232,None,248.81708690000232,None,248.81708690000232,None,None,,248.81708690000232,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
60,0,60,0,255.85801695300324,None,,,,,,,61,all_images/4_157a.jpg,LSim,252.8452545629989,None,252.8452545629989,None,252.8452545629989,None,252.8452545629989,None,252.8452545629989,None,None,,252.8452545629989,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
61,0,61,0,259.880412109007,None,,,,,,,62,all_images/D_180a.jpg,LSim,256.86940085901006,None,256.86940085901006,None,256.86940085901006,None,256.86940085901006,None,256.86940085901006,None,None,,256.86940085901006,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
62,0,62,0,263.90317096300714,None,,,,,,,63,all_images/2_117a.jpg,HSim,260.89228331400955,None,260.89228331400955,None,260.89228331400955,None,260.89228331400955,None,260.89228331400955,None,None,,260.89228331400955,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
63,0,63,0,267.9301008570037,None,,,,,,,64,all_images/6_008a.jpg,LSim,264.9177332780091,None,264.9177332780091,None,264.9177332780091,None,264.9177332780091,None,264.9177332780091,None,None,,264.9177332780091,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
64,0,64,0,271.9534545409988,None,,,,,,,65,all_images/1_186a.jpg,LSim,268.9419091910095,None,268.9419091910095,None,268.9419091910095,None,268.9419091910095,None,268.9419091910095,None,None,,268.9419091910095,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
65,0,65,0,275.97319204799714,None,,,,,,,66,all_images/3_141a.jpg,LSim,272.9646715179988,None,272.9646715179988,None,272.9646715179988,None,272.9646715179988,None,272.9646715179988,None,None,,272.9646715179988,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
66,0,66,0,279.99892378400546,None,,,,,,,67,all_images/2_007a.jpg,HSim,276.9861449739983,None,276.9861449739983,None,276.9861449739983,None,276.9861449739983,None,276.9861449739983,None,None,,276.9861449739983,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
67,0,67,0,284.02054549200693,None,,,,,,,68,all_images/5_007a.jpg,HSim,281.01206501699926,None,281.01206501699926,None,281.01206501699926,None,281.01206501699926,None,281.01206501699926,None,None,,281.01206501699926,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
